idx,file,date,burrow,id,sex,ball,trial,temp,flee_dis,release,react,retreat,full_retreat,t1,t2,t3,t4,fs1,fs2,fs3,fs4,speedc,angle,t_angle,orientation,bd_time,emergence,operator,vid_operator,note1,note2,train_emerg,chronic_burrow,mass,weigh_date,path_dist,n_trials_treatment
2,B201_T1_C.MP4,21/03/2024,201,NA,unknown,cork,1,23.4,1.8,1740,1750,1772,Y,1761,NA,NA,NA,0.33,NA,NA,NA,1,116,116,tail,3:36:00 PM,123.56,EG,EG,,,N,N,,,0.655702767,5
3,B201_T2_C.MP4,21/03/2024,201,NA,unknown,cork,2,24,1.5,1271,1284,1292,Y,1292,NA,NA,NA,0.45,NA,NA,NA,1,46,46,head,3:44:00 PM,32.24,EG,RL,Amended distance from video,,N,N,,,0.655702767,5
4,B201_T3_C.MP4,21/03/2024,201,NA,unknown,cork,3,22.1,1.6,2114,2122,2132,Y,2129,NA,NA,NA,0.51,NA,NA,NA,1,29,41,head,3:53:00 PM,122.42,EG,EG,Amended distance from video,,N,N,,,0.655702767,5
5,B201_T4_C.MP4,21/03/2024,201,NA,unknown,cork,4,24.4,2,1274,1284,1309,Y,1294,NA,NA,NA,0.36,NA,NA,NA,1,99,99,tail,3:59:00 PM,41.66,EG,RL,Amended distance from video,,N,N,,,0.655702767,5
6,B201_T5_C.MP4,21/03/2024,201,NA,unknown,cork,5,22.5,2,1021,1029,1039,Y,1036,NA,NA,NA,0.51,NA,NA,NA,1,22,22,head,4:02:00 PM,186,EG,EG,,,N,N,,,0.655702767,5
8,B245_T1_C.MP4,21/03/2024,245,19Y,female,cork,1,24.8,2.2,5542,5552,5565,Y,5561,NA,NA,NA,0.4,NA,NA,NA,1,38,38,head,2:24:00 PM,28.97,RL,EG,,,N,N,0.59,22/03/2024,0.526413762,9
9,B245_T2_C.MP4,21/03/2024,245,19Y,female,cork,2,22.9,2.6,1234,1163,1183,Y,1171,NA,NA,NA,0.45,NA,NA,NA,1,33,33,head,2:29:00 PM,96.27,RL,RL,,,N,N,0.59,22/03/2024,0.526413762,9
10,B245_T3_C.MP4,21/03/2024,245,19Y,female,cork,3,22.9,2.5,6088,6096,6109,Y,6104,NA,NA,NA,0.45,NA,NA,NA,1,34,34,head,2:35:00 PM,144.66,RL,EG,,,N,N,0.59,22/03/2024,0.526413762,9
11,B245_T4_C.MP4,21/03/2024,245,19Y,female,cork,4,26.5,2.3,12505,12517,12540,Y,12523,NA,NA,NA,0.6,NA,NA,NA,1,125,125,tail,2:42:00 PM,88.87,RL,RL,,,N,N,0.59,22/03/2024,0.526413762,9
12,B245_T5_C.MP4,21/03/2024,245,19Y,female,cork,5,20.7,2.3,1817,1678,1693,Y,1688,NA,NA,NA,0.36,NA,NA,NA,1,163,163,tail,2:49:00 PM,289.28,RL,EG,,,N,N,0.59,22/03/2024,0.526413762,9
13,B245_T6_C.MP4,21/03/2024,245,19Y,female,cork,6,21.7,1.7,6516,6528,6538,Y,6535,NA,NA,NA,0.51,NA,NA,NA,1,20,20,tail,3:03:00 PM,97.37,RL,RL,,Backwards into burrow ,N,N,0.59,22/03/2024,0.526413762,9
14,B245_T7_C.MP4,21/03/2024,245,19Y,female,cork,7,25.2,2,11469,11478,11490,Y,11483,NA,NA,NA,0.72,NA,NA,NA,1,128,128,tail,3:06:00 PM,178.59,RL,EG,,,N,N,0.59,22/03/2024,0.526413762,9
15,B245_T8_C.MP4,21/03/2024,245,19Y,female,cork,8,22.2,1.9,1048,1023,1033,Y,1030,NA,NA,NA,0.51,NA,NA,NA,1,9,9,head,3:10:00 PM,370.06,RL,RL,,,N,N,0.59,22/03/2024,0.526413762,9
16,B245_T9_C.MP4,21/03/2024,245,19Y,female,cork,9,22.9,2,3697,3709,3719,Y,3715,NA,NA,NA,0.6,NA,NA,NA,1,127,127,tail,3:30:00 PM,497.73,RL,EG,,,N,N,0.59,22/03/2024,0.526413762,9
18,B302_T1_C.MP4,21/03/2024,302,17Y,female,cork,1,19,2.5,1711,1723,1748,Y,1735,NA,NA,NA,0.3,NA,NA,NA,1,28,33,head,2:53:00 PM,36.62,EG,EG,,,N,N,0.5,22/03/2024,0.824976511,5
19,B302_T2_C.MP4,21/03/2024,302,17Y,female,cork,2,25,2.4,2151,2165,2213,Y,2189,NA,NA,NA,0.15,NA,NA,NA,1,47,47,head,2:56:00 PM,30.11,EG,RL,,,N,N,0.5,22/03/2024,0.824976511,5
20,B302_T3_C.MP4,21/03/2024,302,17Y,female,cork,3,20.5,1.5,1511,1522,1535,Y,1535,NA,NA,NA,0.28,NA,NA,NA,1,140,140,tail,2:58:00 PM,90.53,EG,EG,,,N,N,0.5,22/03/2024,0.824976511,5
21,B302_T4_C.MP4,21/03/2024,302,17Y,female,cork,4,18.7,2.3,2511,2523,2538,Y,2532,NA,NA,NA,0.4,NA,NA,NA,1,152,152,tail,3:04:00 PM,62.53,EG,EG,,,N,N,0.5,22/03/2024,0.824976511,5
22,B302_T5_C.MP4,21/03/2024,302,17Y,female,cork,5,18.5,2,788,800,813,Y,810,NA,NA,NA,0.36,NA,NA,NA,1,46,57,head,3:06:00 PM,46.51,EG,EG,,,N,N,0.5,22/03/2024,0.824976511,5
64,B529_T1C.MP4,24/03/2024,529,20Y,female,cork,1,19.3,2.3,2414,2427,2446,Y,2438,NA,NA,NA,0.33,NA,NA,NA,1,5,5,head,2:02:00 PM,30.65,EG,EG,,,N,N,0.68,22/03/2024,0.384154911,10
65,B529_T2C.MP4,24/03/2024,529,20Y,female,cork,2,12,1.8,1963,1975,1999,Y,1986,NA,NA,NA,0.33,NA,NA,NA,1,176,110,tail,2:13:00 PM,44.3,EG,RL,,,N,N,0.68,22/03/2024,0.384154911,10
66,B529_T3C.MP4,24/03/2024,529,20Y,female,cork,3,20.1,2,1594,1607,1627,Y,1619,NA,NA,NA,0.3,NA,NA,NA,1,167,167,tail,2:16:00 PM,97.75,EG,EG,,,N,N,0.68,22/03/2024,0.384154911,10
67,B529_T4C.MP4,24/03/2024,529,20Y,female,cork,4,22.2,2.2,1713,1724,1754,Y,1733,NA,NA,NA,0.4,NA,NA,NA,1,180,120,tail,2:19:00 PM,119.47,EG,RL,,,N,N,0.68,22/03/2024,0.384154911,10
68,B529_T5C.MP4,24/03/2024,529,20Y,female,cork,5,21,1.8,1315,1327,1340,Y,1335,NA,NA,NA,0.45,NA,NA,NA,1,0,0,head,2:22:00 PM,156.47,EG,EG,,,N,N,0.68,22/03/2024,0.384154911,10
69,B529_T6C.MP4,24/03/2024,529,20Y,female,cork,6,22,2.2,1505,1517,1547,Y,1527,NA,NA,NA,0.36,NA,NA,NA,1,180,135,tail,2:26:00 PM,31.24,EG,RL,Amended distance from video,,N,N,0.68,22/03/2024,0.384154911,10
70,B529_T7C.MP4,24/03/2024,529,20Y,female,cork,7,21.7,2,1253,1266,1279,Y,1275,NA,NA,NA,0.4,NA,NA,NA,1,11,11,head,2:28:00 PM,88.93,EG,EG,,,N,N,0.68,22/03/2024,0.384154911,10
71,B526_T8C.MP4,24/03/2024,529,20Y,female,cork,8,21.6,1.9,1336,1377,1393,Y,1388,NA,NA,NA,0.33,NA,NA,NA,1,180,180,tail,2:31:00 PM,82.09,EG,EG,,,N,N,0.68,22/03/2024,0.384154911,10
72,B529_T9C.MP4,24/03/2024,529,20Y,female,cork,9,22.5,1.8,1387,1399,1412,Y,1409,NA,NA,NA,0.36,NA,NA,NA,1,168,168,tail,2:33:00 PM,43.51,EG,EG,,,N,N,0.68,22/03/2024,0.384154911,10
73,B529_T10C.MP4,24/03/2024,529,20Y,female,cork,10,21.7,1.7,990,1003,1019,Y,1013,NA,NA,NA,0.36,NA,NA,NA,1,20,20,head,2:36:00 PM,79.63,EG,RL,,,N,N,0.68,22/03/2024,0.384154911,10
